slug,city,state
iit-bombay,Mumbai,Maharashtra
iit-delhi,New Delhi,Delhi
iit-madras,Chennai,Tamil Nadu
indian-institute-of-technology-kanpur,Kanpur,Uttar Pradesh
indian-institute-of-technology-kharagpur,Kharagpur,West Bengal
indian-institute-of-technology-roorkee,Roorkee,Uttarakhand
indian-institute-of-technology-guwahati,Guwahati,Assam
indian-institute-of-technology-hyderabad,Hyderabad,Telangana
indian-institute-of-technology-indore,Indore,Madhya Pradesh
indian-institute-of-technology-patna,Patna,Bihar
indian-institute-of-technology-mandi,Mandi,Himachal Pradesh
indian-institute-of-technology-gandhinagar,Gandhinagar,Gujarat
indian-institute-of-technology-bhubaneswar,Bhubaneswar,Odisha
indian-institute-of-technology-ropar,Rupnagar,Punjab
indian-institute-of-technology-jodhpur,Jodhpur,Rajasthan
indian-institute-of-technology-dhanbad,Dhanbad,Jharkhand
indian-institute-of-technology-bhilai,Bhilai,Chhattisgarh
indian-institute-of-technology-goa,Ponda,Goa
indian-institute-of-technology-jammu,Jammu,Jammu and Kashmir
indian-institute-of-technology-tirupati,Tirupati,Andhra Pradesh
indian-institute-of-technology-palakkad,Palakkad,Kerala
indian-institute-of-technology-dharwad,Dharwad,Karnataka
indian-institute-of-technology-varanasi,Varanasi,Uttar Pradesh

national-institute-of-technology-trichy,Tiruchirappalli,Tamil Nadu
national-institute-of-technology-warangal,Warangal,Telangana
national-institute-of-technology-surathkal,Surathkal,Karnataka
national-institute-of-technology-calicut,Kozhikode,Kerala
national-institute-of-technology-rourkela,Rourkela,Odisha
national-institute-of-technology-durgapur,Durgapur,West Bengal
national-institute-of-technology-kurukshetra,Kurukshetra,Haryana
national-institute-of-technology-jalandhar,Jalandhar,Punjab
national-institute-of-technology-allahabad,Prayagraj,Uttar Pradesh
national-institute-of-technology-hamirpur,Hamirpur,Himachal Pradesh
national-institute-of-technology-raipur,Raipur,Chhattisgarh
national-institute-of-technology-patna,Patna,Bihar
national-institute-of-technology-silchar,Silchar,Assam
national-institute-of-technology-agartala,Agartala,Tripura
national-institute-of-technology-srinagar,Srinagar,Jammu and Kashmir
national-institute-of-technology-goa,Ponda,Goa
national-institute-of-technology-meghalaya,Shillong,Meghalaya
national-institute-of-technology-manipur,Imphal,Manipur
national-institute-of-technology-mizoram,Aizawl,Mizoram
national-institute-of-technology-nagaland,Dimapur,Nagaland
national-institute-of-technology-arunachal-pradesh,Yupia,Arunachal Pradesh
national-institute-of-technology-uttarakhand,Srinagar,Uttarakhand
national-institute-of-technology-delhi,New Delhi,Delhi
national-institute-of-technology-andhra-pradesh,Tadepalligudem,Andhra Pradesh
national-institute-of-technology-puducherry,Karaikal,Puducherry

bits-pilani,Pilani,Rajasthan
vit-vellore,Vellore,Tamil Nadu
manipal-institute-of-technology,Manipal,Karnataka
srm-institute-of-science-and-technology,Chennai,Tamil Nadu
kiit-university,Bhubaneswar,Odisha
amity-university,Noida,Uttar Pradesh
lovely-professional-university,Phagwara,Punjab
shiv-nadar-university,Greater Noida,Uttar Pradesh
siksha-o-anusandhan-university,Bhubaneswar,Odisha
thapar-institute-of-engineering-and-technology,Patiala,Punjab
